CrashName,TimeStamp,Weather,RoadwaySurface,RoadwayCondition,Lighting
CR-0000069722,7/21/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000039943,8/28/12,Clear,Dry,No Unusual Conditions,Daylight
CR-0000069738,7/22/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000069724,7/21/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000064151,10/16/16,Rain,Wet,No Unusual Conditions,Dark - Street Light
CR-0000068247,7/12/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000069729,7/22/17,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000068277,7/14/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000063932,10/17/16,Clear,Dry,No Unusual Conditions,Daylight
CR-0000063673,10/3/16,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000063663,10/2/16,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000068691,7/1/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000061319,5/19/16,Clear,Dry,No Unusual Conditions,Daylight
CR-0000064114,10/13/16,Clear,Dry,No Unusual Conditions,Daylight
CR-0000068424,7/28/17,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000069718,7/21/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000068244,7/12/17,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000054390,12/23/14,Fog,Wet,No Unusual Conditions,Dark - No Street Light
CR-0000032947,7/22/11,Clear,Dry,No Unusual Conditions,Daylight
CR-0000050637,6/9/14,Clear,Dry,No Unusual Conditions,Daylight
CR-0000047812,12/20/13,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000048279,2/12/14,Clear,Dry,No Unusual Conditions,Daylight
CR-0000050784,7/12/14,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000063813,10/9/16,Clear,Dry,No Unusual Conditions,Dark - No Street Light
CR-0000064008,10/13/16,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000068523,8/2/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000063660,10/2/16,Clear,Dry,Obstruction On Roadway,Dusk - Dawn
CR-0000047334,11/28/13,Clear,Dry,No Unusual Conditions,Daylight
CR-0000041571,11/27/12,Clear,Dry,No Unusual Conditions,Daylight
CR-0000041927,12/13/12,Clear,Dry,No Unusual Conditions,Daylight
CR-0000041925,12/13/12,Clear,Dry,No Unusual Conditions,Daylight
CR-0000039766,7/23/12,Clear,Dry,No Unusual Conditions,Daylight
CR-0000040003,8/28/12,Clear,Dry,No Unusual Conditions,Daylight
CR-0000039101,8/11/12,Clear,Dry,No Unusual Conditions,Daylight
CR-0000058806,12/18/15,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000052678,11/8/14,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000067340,5/13/17,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000031596,4/15/11,Clear,Dry,No Unusual Conditions,Daylight
CR-0000065737,1/28/17,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000064486,11/5/16,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000064079,10/22/16,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000051850,9/21/14,Cloudy,Dry,No Unusual Conditions,Daylight
CR-0000063096,9/8/16,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000064340,11/12/16,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000064665,11/24/16,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000056170,6/8/15,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000068722,8/14/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000064452,11/3/16,Clear,Dry,No Unusual Conditions,Dark - Street Light
